"","uniprot_id","protein","gene","description","Ensembl","CR006_T1","CR006_T2","CR007_T2","CR008_T1","CR008_T2","CR010_T2","CR012_T1","CR012_T2","CR015_T1","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR025_T1","CR025_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","PPS02","PPS20","PPS28","PPS31","PPS32","PPS37","PPS40","PPS41","PPS42","PPS44"
"Q96HC4","Q96HC4","PDLI5_HUMAN","PDLIM5","PDZ and LIM domain protein 5","ENSG00000163110",23.4403807958579,26.359165612424,24.008116985064,23.6694562525808,23.3226902347519,23.4820401118867,23.8611230960023,24.5497840631949,23.7228647696529,24.2353186806747,24.5738629293736,24.781533666696,22.5540038890967,23.8420653381834,23.4740803457345,24.021050972456,25.1682689658727,24.2073241767598,23.7059630209954,24.271190768555,23.3357317590142,23.6841866886054,23.2975901776729,23.7369531173476,23.8773451847424,24.8091826302992,23.1436034332666,23.1461070130958,23.6920051899821,23.526419557085,23.9030299869686,23.5426875051206,24.3106543912579,24.2151672397286,22.9121955472308
"P61981","P61981","1433G_HUMAN","YWHAG","14-3-3 protein gamma","ENSG00000170027",24.1979930356833,24.046197541746,23.5431812260107,23.4367989474864,23.6328891892583,24.1613290727662,24.1453533842236,23.8965678291113,24.3839482478669,23.9920813666353,24.1785183797207,23.5202596043693,24.1436458381841,24.2364000724464,23.803891431005,23.7666562018749,23.9005896707493,23.4666819371858,24.1815067741398,23.7665712687659,23.8485434230491,23.650313076922,24.0198540403588,24.4097304614982,23.6965215848722,24.3130126965737,24.2132831194174,23.7932541690365,23.7815837528463,24.0532485638519,24.048591360838,23.6800743724397,24.1664979956161,23.8153524960378,23.9243879485442
"O60240","O60240","PLIN1_HUMAN","PLIN1","Perilipin-1","ENSG00000166819",19.9841889648096,20.2245080208227,21.6032654007588,20.1816497148857,18.8920148718895,22.7194768891729,22.1380486506744,23.3884581657893,25.7696893808789,21.8057397126137,22.4019845622994,19.3295335570695,21.1007432938212,24.947107405126,22.5890721172509,24.1741616898628,23.2141392247343,23.5087749560409,23.6687192432835,21.2959665279972,21.1991050148562,NA,18.5860757982221,19.768485475054,24.3655395399399,18.9810869376577,19.3601079536067,17.9707085529302,NA,18.661722355921,17.939914111881,NA,19.5389320083092,NA,19.3491874885534
"P24310","P24310","CX7A1_HUMAN","COX7A1","Cytochrome c oxidase subunit 7A1, mitochondrial","ENSG00000161281",23.9712365822433,24.7265193820093,24.1278037637034,24.6751978770218,23.8674472287432,23.7274342407549,22.7173981288422,24.0123328363581,23.4102688203259,24.0951231314727,23.4496614822587,24.0993423450678,24.2275306564952,23.8859646201083,24.4242962130265,23.8427342555921,24.1900802244612,23.7466271742782,23.9761504389337,24.7537881556153,23.8912617842667,24.5147612726438,24.3778000138097,23.358554837266,24.2429614197923,24.0536065542808,23.7221965186711,24.5137749653045,24.270935489476,24.5581560254078,23.9186422388573,24.3533547748729,23.4725859863823,23.7009581444251,24.2051799216841
"P07108","P07108","ACBP_HUMAN","DBI","Acyl-CoA-binding protein","ENSG00000155368",23.7983579594671,23.3287098089622,23.94391943881,23.8763613058972,23.9369956227674,23.9563975360351,24.0761815065147,23.4611335779614,25.0727675771314,24.3965396347164,24.083104907477,23.8129822341833,23.4748521591733,23.8521324591551,23.8765327940768,24.0686653150682,23.9710006486453,24.0647067618225,24.2517034802185,23.9559655808675,24.1962271757323,23.5407597642733,24.0142864686003,24.2528511089422,24.0998221402591,23.6761926194734,24.0338343349003,23.8340526290685,23.5568309313748,23.2974651516447,23.7843176446467,23.7422692170194,23.0399448859703,24.1500289667227,23.8342527412189
"P04179","P04179","SODM_HUMAN","SOD2","Superoxide dismutase [Mn], mitochondrial","ENSG00000291237",24.1971459595669,23.7395669207703,24.5260484687049,24.8113909123587,24.9257003454496,23.5847498552267,23.5778595261571,23.7939138987855,24.0541795219779,23.864213712024,23.3808161602522,23.9869193850786,24.183356484041,23.2709964777958,23.5857140285395,23.5483975954439,23.538765711455,23.9631494223062,24.0302774851069,24.316536028296,23.5753944327122,24.4242804868588,24.5633804450377,23.7504973685765,24.5598660181648,23.0756490305315,23.6600599407591,23.834632225875,23.6955074300103,23.6739784999224,23.3973780342073,23.9603104042824,23.5132308337544,24.0824566163712,23.7587169015245
"P06753","P06753","TPM3_HUMAN","TPM3","Tropomyosin alpha-3 chain","ENSG00000143549",22.5711612111348,27.2069273024014,24.2965366336073,21.739656639898,21.20028311114,21.7434145182852,22.8022289497673,25.7734042532402,23.0170792595491,22.0959405826793,24.6973259405403,25.9513561414791,22.0787092510919,22.2234070423081,21.8933862160879,23.4893882932787,25.5573726977699,22.5104313475172,22.8916056222024,22.7376846885042,22.4471163151885,23.8397313506005,23.4313537823739,22.7469802220392,21.3732737081269,24.4799740461261,22.8327456809856,24.0288425906192,22.3927012683387,23.5660627822191,23.1436907980306,22.3849740323842,22.9679286893296,23.6198672091887,22.4474509261777
"P68371","P68371","TBB4B_HUMAN","TUBB4B","Tubulin beta-4B chain","ENSG00000188229",23.7727959864889,23.7554131706703,23.5421116824781,23.546638484064,23.7208860326614,24.1224775771933,24.0032836609784,24.0899100368185,24.9906408449057,24.0919534835247,24.0290997652799,23.8905167149554,23.7659180821119,24.6254898150499,23.9544863818664,24.1837863065488,24.1081076673742,23.8819316137763,24.154359423901,23.812934667814,23.8490965865601,23.909800654874,23.5120275771332,23.8788940099597,24.0565318963643,24.1017090979792,23.7993138196602,23.4633762292558,23.8771996735035,23.660602401897,23.856476757059,23.7631685881274,23.720779163746,23.7422794710565,23.8960904173889
"Q6ZMU5","Q6ZMU5","TRI72_HUMAN","TRIM72","Tripartite motif-containing protein 72","ENSG00000177238",24.0213591965687,24.1846413056557,24.4142224504538,24.1761458155209,24.0734883687573,24.0792075730043,24.3125120122277,23.9757622550035,23.4457130860852,24.3429581215183,23.9015273622349,24.2352324043333,24.0258418040608,23.4237783410701,23.6123945945038,23.8822884486681,23.875680984431,24.0261576718735,23.5999892099019,24.0566588110156,23.9301053070193,23.9687799868949,23.8803101805256,24.0266425840797,23.9845289429262,24.0189401011991,23.7094836026065,24.0020768908101,24.1589255899025,23.8510791139108,24.088667297681,23.6902897761866,24.0503277509386,24.0854022740978,23.7845408515191
"P13073","P13073","COX41_HUMAN","COX4I1","Cytochrome c oxidase subunit 4 isoform 1, mitochondrial","ENSG00000131143",23.9612911430891,24.304468697578,23.734635078001,24.3520378340898,24.3922523628781,23.4871536006298,22.523715904014,23.775759921723,23.5249156732652,23.9665260686819,23.760714300361,24.0557445395036,24.151396143839,24.1663490743342,24.1309510094845,23.6371307838733,23.8387372207617,23.9544118980449,23.8798981892866,24.2644830187759,23.933129565981,24.3949974073322,24.2845634448557,23.1545529887927,24.2594477463304,23.789007559575,23.7814960959673,24.3514136139099,24.0421429053061,24.4949150954117,23.8089610235745,24.0238665263254,23.7666831733657,23.3626073207654,24.1602749894296
"Q16851","Q16851","UGPA_HUMAN","UGP2","UTP--glucose-1-phosphate uridylyltransferase","ENSG00000169764",24.2095155801235,24.2479631703456,24.0809251239438,23.8891920416212,23.8561390936576,23.8154853941954,23.8199871611736,23.8099434356804,24.5487277610189,24.2045857437584,24.2733331574254,24.2985093482391,24.4292213263335,23.6080356136919,23.5602787124761,23.6870091809579,23.6769604163687,23.6126184726902,23.8112398012391,23.708907926738,23.7425253084169,23.5340826233906,23.8123275179295,24.0881291339697,24.0468264998597,24.2079570806814,23.8495972958177,24.0454477776382,24.3161545130025,24.1674580134907,23.7517317169536,24.1696050214832,23.7952724201979,23.7643667370319,23.8331277356522
"P48047","P48047","ATPO_HUMAN","ATP5PO","ATP synthase subunit O, mitochondrial","ENSG00000241837",23.770995806044,23.9207323584602,24.1300540098322,24.9345772649579,24.4185694688167,23.8171467199758,23.220030463289,23.5376624150019,23.6784550792665,23.7358702054723,23.5027857153375,23.6725314794919,24.2405399920497,23.1629851371224,23.8339598393458,23.4702870044873,23.6281201221195,23.7594380637333,23.5522848790557,24.0287237868701,23.6434090589934,24.6388143694377,24.6106819123435,23.4756736456325,24.2316553741833,23.5163084186218,23.983571076269,24.1654413953285,24.3241012360537,24.6141483698769,24.2480087986363,24.2977746930244,23.8162036289685,23.9961133661876,23.7482765988739
"P04083","P04083","ANXA1_HUMAN","ANXA1","Annexin A1","ENSG00000135046",21.9994926148685,22.363050686918,22.5020370503458,21.8275495216233,21.8940773034085,23.459785050588,22.8280683678927,23.688363639141,25.9383459592376,21.9054071079276,23.5602657221354,21.3129236687053,22.3895465561961,24.9062069993948,23.1661160618075,24.0720612696549,24.1775796253831,23.7853960790852,24.8959171141909,22.1052195974105,23.5379131759411,20.8588852731693,21.4981332066844,21.9332784836862,24.7304385685804,21.0955201177629,21.5551187683702,21.2785000378439,20.4132136919312,20.7561213480221,20.8878084645779,20.5654416969739,20.6659168130685,20.9016615280827,21.0285744417444
"P51884","P51884","LUM_HUMAN","LUM","Lumican","ENSG00000139329",22.3227302190029,24.0086203591041,22.4546672927229,22.534735821214,22.6182777731966,23.7000127892364,23.0231346641706,23.8832436717675,25.6583961511589,22.0968485087477,23.4503240229854,22.5934940904354,22.9558127452081,23.9163473485766,23.3801989354729,24.3395296433552,24.8086545632247,23.1350372891883,25.4195928949713,22.4456983459749,23.7582762721629,21.9323485133936,21.8045198242956,22.0651999158879,24.477673527392,21.9828785970806,21.9269468214016,21.8683906721218,21.111880886591,20.8017338980294,21.2763495733892,21.7553244480543,22.1240559280522,21.3055056821763,22.2047921754998
"O14958","O14958","CASQ2_HUMAN","CASQ2","Calsequestrin-2","ENSG00000118729",23.6950671436062,23.2810973961295,24.0118143659009,24.0061413327447,24.1540805750454,23.3633742001767,24.1237747816712,23.8165949201344,23.1965773047878,24.2537349989666,23.8234514593942,23.9169435984278,23.5923468803191,22.2832011901703,22.9579424661294,22.2560619846354,22.617088682377,23.6720171680392,22.2668707280091,23.6554446788414,24.0208115251637,24.3416551459369,24.3522337241536,24.4944231423696,23.5403549986097,24.2043602513711,24.2710193642457,23.965952613543,23.6621454886081,24.7023518431093,24.8675900323494,24.1362621297575,24.2376588558387,24.3906508239203,23.8297354311191
"P09417","P09417","DHPR_HUMAN","QDPR","Dihydropteridine reductase","ENSG00000151552",23.8324671603382,23.4050401715874,23.7657291543508,23.981168204814,23.7688784148669,24.4595427185991,24.1627321855331,23.8047661416704,24.1425880227827,24.1835459123405,24.0152538212402,24.023131488684,23.3215223884186,24.0361505164026,23.7581019493921,23.6531729545616,23.438777849361,23.9723982536711,23.8284133180427,24.0025044972155,23.9909051826035,23.5152898336364,23.5258671902231,23.867371283188,23.7323662281269,23.9708844202172,23.9343923124808,23.5737112273482,23.8676604405572,23.4955099477511,23.9290962923658,24.1770263888923,23.9901364086765,23.6054236303237,23.8292570268957
"Q96DG6","Q96DG6","CMBL_HUMAN","CMBL","Carboxymethylenebutenolidase homolog","ENSG00000164237",24.1301751593522,23.2657755418766,23.8664142679329,23.871393310217,23.0258830376269,24.1752883473598,24.3656663330721,23.7849212179404,23.3898669475405,24.0352949180316,23.6135795245938,24.0934589852677,23.8438736975332,24.0647049237372,24.0368256580548,24.1140311498171,23.7122553889779,24.1021501880646,23.6566925140029,23.8933130735225,24.0463562098966,23.6535582381832,23.7448686053951,24.2613898977465,23.4493327515384,24.3346970538951,23.4781023739411,23.4844292370511,23.9320568551334,23.7673587007434,23.7695603359719,23.8756243259346,24.6344134433859,24.3811220122334,23.6561647854826
"P54296","P54296","MYOM2_HUMAN","MYOM2","Myomesin-2","ENSG00000036448",23.6848998373776,25.6744331006338,23.7969663293396,23.6584670572926,23.0341839192185,23.1930486856868,23.5513769334742,24.1180180023373,23.0566434960346,23.8812534016373,24.3003837318845,24.3764817582278,22.5709380658513,23.4168796445531,23.2573082654058,23.1875950350612,24.9667598111202,23.3375186234888,22.552580901299,23.9025330686059,23.3389277294116,23.428000688755,23.3636019712067,24.0102052750481,23.3895518593617,24.6192121807031,23.8327768502439,23.6750001118594,23.9036791417615,23.864529006437,24.0922188266263,23.5216471923938,24.356465187556,23.9345827745681,23.3399451721715
"Q09666","Q09666","AHNK_HUMAN","AHNAK","Neuroblast differentiation-associated protein AHNAK","ENSG00000124942",22.2871435467711,22.536719954894,22.8074490698455,22.5468740260112,22.0504996334585,23.5720216628331,22.955507383775,23.783982978025,25.7393151965236,22.600294812932,23.4843526304869,22.5276271039121,22.1207210803132,23.9954246198083,23.2651281085997,23.7801218465211,24.1937659193726,23.449604520296,25.1136214405936,22.6998905553338,23.2847983707887,21.9487382650441,22.1099922544436,22.170789992526,24.2746222963144,22.321088067968,22.1927486276366,21.9578343080902,21.9206197015315,22.3914506968727,22.367990021963,21.7465604728439,22.2346031903405,21.9091391619493,21.8593715735572
"Q04760","Q04760","LGUL_HUMAN","GLO1","Lactoylglutathione lyase","ENSG00000124767",23.851285680876,23.5507392617856,23.9527331815234,23.9531948991282,23.2913535379151,24.0701129915181,24.5606668506186,23.6956569607687,23.6940297652076,24.2913125818387,23.5074968376879,24.1814928208386,23.3495355765317,23.6132010221938,23.7414178727623,23.8068549599779,23.503117094371,24.1367438354544,23.8536303940697,24.0638169739571,23.6342033265556,23.7883911529514,23.7557379472665,23.8497504866129,23.3901048413283,24.4620832521024,23.5626622288992,23.8837753548589,24.0708654028506,23.7461715305112,24.0177674231845,23.9479821900803,24.3423535805381,24.2351232187669,23.6025669904527
"P14174","P14174","MIF_HUMAN","MIF","Macrophage migration inhibitory factor","ENSG00000240972",23.0260530565592,23.3762847789404,23.7512613403162,23.5062693931099,24.1054554466091,24.2726129683104,24.3408834560549,23.8869327998802,25.002210784086,23.7982487103551,23.571344478105,23.3292067060711,22.0311658462951,23.1001276130278,23.5857519903054,24.2110497746805,24.2287732072983,23.8380727705667,24.447842027334,24.042062456354,24.1503954583954,23.2680366001395,23.7142305780017,23.8140769857043,23.1717797351191,23.4877397604745,23.2503684922027,22.2739740324099,23.5481082869836,23.4320664895058,23.4347954318796,24.1415432199937,22.9573013130715,23.8354358888684,23.671359208345
"Q9Y277","Q9Y277","VDAC3_HUMAN","VDAC3","Voltage-dependent anion-selective channel protein 3","ENSG00000078668",24.2629378172328,23.9752389888517,23.9969592974903,24.0977128575412,23.6914142106338,23.5328482572779,23.1871897732219,24.1204780376772,23.5767665837638,24.2192487380451,24.043304445552,23.8979143287548,24.02204069944,23.5104500251516,23.7408776107829,23.4718851455841,23.6860025253779,23.8740113166916,23.2217182748426,24.4243140214482,23.9925702657678,24.0199773446739,23.2657271807955,23.037247939192,23.4817525560007,23.9328897091745,23.5800667310024,23.9796833609351,23.6932496838232,24.307944883289,23.9736315680984,23.6964723221863,24.1866611664174,23.5776296065701,23.8998785654853
"P09211","P09211","GSTP1_HUMAN","GSTP1","Glutathione S-transferase P","ENSG00000084207",23.8223503659459,23.1349979071082,23.4236721167921,23.2580273144928,23.2041844776875,24.0128951343202,24.4567725607143,23.9162589066715,24.354034482299,23.6482244944728,23.8734899189848,23.4626361227712,23.2440918624482,24.073011535211,23.4650537356591,23.5463147787027,23.4902150623249,23.8280770569592,24.2399068733587,23.7439225826733,23.9229278294511,23.3971659874658,23.5093573317991,24.1348887284789,23.6190840721823,24.308238534255,23.8537269908028,23.8238374512821,23.3670460485667,23.5616591961426,23.5910345442533,23.3627297550289,24.0231918860293,24.0340996816395,23.7652159643088
"Q13011","Q13011","ECH1_HUMAN","ECH1","Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial","ENSG00000104823",24.0946450617819,23.8073062708972,24.008473443641,24.1558444531561,24.7197624372531,23.4388729012049,23.4595168914577,23.6042703080264,23.3728355228482,22.6634165692635,22.6214182195807,23.5720693900619,23.7925740352377,23.4020146034197,23.715089983056,23.2367063812628,23.6037022690852,23.3145431831074,23.0464646061461,24.0136114068562,24.3518220565774,23.7536459313828,24.2748012263635,23.7543197413049,23.8427240066933,23.9960433906147,24.0776622950298,23.5439918491161,23.4631883327323,23.7000855911593,24.068427618872,23.9131866468582,23.3187657112874,24.4394822315872,24.3233139947348
"P06396","P06396","GELS_HUMAN","GSN","Gelsolin","ENSG00000148180",22.7955589231707,23.7709926806076,22.9155843541367,21.9242951802526,22.6142638782932,23.8426044177876,23.2549792787231,23.8173558779649,25.3154012217863,23.0949663873475,23.795171789178,22.8822905529913,23.3779902458918,24.3240534980298,23.7072520606394,23.8944356878788,23.9875786623754,23.3368563942874,25.2466496859118,22.9645298540394,23.7839721456667,22.4252680625727,22.5234419184777,22.7552026762221,24.1229757490662,21.6640630094992,22.8881240851636,21.93246648813,21.63787613262,22.2335302375864,22.1314437495615,22.0348822389942,23.073782605815,22.103499916635,22.0102482334383
"Q00325","Q00325","MPCP_HUMAN","SLC25A3","Phosphate carrier protein, mitochondrial","ENSG00000075415",23.7335289845517,24.2500292170081,23.9579831613224,24.498067123652,24.3765081991564,23.4700814047629,22.9412886962825,23.4724352178536,23.2577133189915,23.3927555363983,23.4125223309414,23.304140038682,23.9728526943316,22.8345565562755,23.6633800334247,23.3169289288007,23.6964473446867,23.4869448761209,23.5815683698244,23.5240344589987,23.460063550656,24.2750522286065,23.9225403556137,23.2054412511222,23.2075508535045,23.6837657323062,23.5440968847697,23.9842045625459,24.5289353316079,24.0945755150226,24.1396365034258,24.3191864323431,23.7641402930137,23.6240525879427,23.8527366387591
