contrast,gene,average_intensity,logFC,sig_pi,direction
Training_PLA,VPS4A,18.8666747394616,-0.0646755270842263,0,NS
Training_PLA,SGCA,18.9630780109658,-0.258821517280936,0,NS
Training_PLA,PRKAA2,18.7458139754387,-0.160243326817856,0,NS
Training_PLA,DNPEP,18.9355699480962,-0.295523679519462,0,NS
Training_PLA,PLPBP,18.9974593649438,-0.0920240596637711,0,NS
Training_PLA,RAB14,18.9106551214049,-0.0322432575423086,0,NS
Training_PLA,RPL13,18.7533458720592,0.428579936552207,0,NS
Training_PLA,RALA,18.7405310899128,0.0403307459858979,0,NS
Training_PLA,KIF5B,18.7996262518804,-0.103155629459021,0,NS
Training_PLA,PSMD1,18.8959583269032,-0.056965107099078,0,NS
Training_PLA,PFDN1,18.7175150396132,-1.07994756354223,-1,Down
Training_PLA,SCCPDH,18.9144016295758,0.164157184819935,0,NS
Training_PLA,SLMAP,18.711297360413,-0.385760628836675,0,NS
Training_PLA,GCDH,18.8186065713844,-0.00287403018941745,0,NS
Training_PLA,MGLL,18.3569046692717,0.543805723493509,0,NS
Training_PLA,SCRN3,18.8564917339303,0.0748841775701479,0,NS
Training_PLA,MECR,18.8631624369688,0.252431155361236,0,NS
Training_PLA,TRAP1,18.859248686145,0.146900969719617,0,NS
Training_PLA,DENR,18.7774344231776,-0.49304883161037,0,NS
Training_PLA,ENDOD1,18.8661599907402,0.149768634679766,0,NS
Training_PLA,COQ10B,18.7045050363437,0.223289941438328,0,NS
Training_PLA,SEPTIN2,18.8044865230987,0.125459977826925,0,NS
Training_PLA,UBE2K,18.947937855999,0.182738938401403,0,NS
Training_PLA,EPRS1,18.8637937571686,0.0475527261815891,0,NS
Training_PLA,GPS1,18.9093789295629,-0.122490824041115,0,NS
Training_PLA,PANK4,18.8701404953777,-0.0876322635369036,0,NS
Training_PLA,HNRNPR,18.8659877598492,0.158594131021776,0,NS
Training_PLA,AP2A1,18.8212132245633,-0.0130035101706589,0,NS
Training_PLA,NAPRT,18.8793509664265,-0.40974005957408,0,NS
Training_PLA,PEPD,18.8415686525192,-0.200960556290841,0,NS
Training_PLA,SULT1A1,18.3425154716497,0.294953669131019,0,NS
Training_PLA,RPS21,18.8213512892845,0.307728528025745,0,NS
Training_PLA,ERAP1,18.7209049104223,-0.193684371299003,0,NS
Training_PLA,ERGIC1,18.7724452227237,0.127662315202617,0,NS
Training_PLA,RPS15,17.1902083315931,1.58047490130118,1,Up
Training_PLA,PLIN2,18.5950698019053,-0.505644487809288,0,NS
Training_PLA,EFEMP1,18.3126637947837,0.564910371728139,0,NS
Training_PLA,IVD,18.8552862838606,-0.015392542995464,0,NS
Training_PLA,RPL17,18.6749810793224,-0.314905234819363,0,NS
Training_PLA,SYNCRIP,18.7845182798924,0.383774221809905,0,NS
Training_PLA,PTBP1,18.0625742404118,0.318633452834366,0,NS
Training_PLA,RPS8,18.7495132667903,-0.0315650282675328,0,NS
Training_PLA,SPRYD4,18.8092665073951,0.619536775904191,0,NS
Training_PLA,DPP3,18.7757119559602,-0.39073572207349,0,NS
Training_PLA,CCS,18.7049879626697,-0.554133093790416,0,NS
Training_PLA,MT-ATP8,18.5509217846198,0.0246269517970426,0,NS
Training_PLA,OCIAD1,18.6879756602973,0.00881878768270283,0,NS
Training_PLA,TNS1,18.2523407949832,-0.301539656123779,0,NS
Training_PLA,EIF3A,18.8144936426741,-0.21271889439284,0,NS
Training_PLA,PURA,18.7390686228286,0.15233214723834,0,NS
Training_PLA,ESYT1,18.3115504773849,0.0151733135503953,0,NS
Training_PLA,SUCLG2,18.7051499013684,0.12573703469786,0,NS
Training_PLA,DDOST,18.8572986639473,-0.286390232151184,0,NS
Training_PLA,VARS1,18.6950217960662,-0.107897459646551,0,NS
Training_PLA,RPL27,18.821849748224,0.373319812647299,0,NS
Training_PLA,ITGA7,18.6492427568195,-0.192269137198892,0,NS
Training_PLA,NPLOC4,18.8782026406554,0.0723031940788132,0,NS
Training_PLA,FECH,18.7803115072703,0.201013162319633,0,NS
Training_PLA,GLIPR2,17.8726024542961,0.817663626289796,0,NS
Training_PLA,NIBAN1,18.8614882968476,-0.182154419557641,0,NS
Training_PLA,ISOC1,18.6512254058683,-0.0274573686192525,0,NS
Training_PLA,ABHD10,18.7052451356631,-0.248155089027016,0,NS
Training_PLA,NDUFA11,18.5687248052174,-0.134635369192658,0,NS
Training_PLA,TRIM54,18.8136747768212,0.426064333764572,0,NS
Training_PLA,SNRPD3,18.847205667541,-0.233857661767846,0,NS
Training_PLA,ME2,18.8061851541523,0.397493624191039,0,NS
Training_PLA,PSMC4,18.7201932786134,0.0359250820956767,0,NS
Training_PLA,RTCA,18.8452082503045,0.0968715240398197,0,NS
Training_PLA,NDUFB5,18.6774747878788,0.16016374856541,0,NS
Training_PLA,ERLIN2,18.7291840593412,-0.120826037501153,0,NS
Training_PLA,PDCD6,18.6356796448315,-0.427760800396051,0,NS
Training_PLA,LXN,18.4424989895303,-0.783569984090303,0,NS
Training_PLA,VAMP3,18.5205171055753,0.200490660337291,0,NS
Training_PLA,LYPLA2,18.7882476815653,-0.147999569831416,0,NS
Training_PLA,VAMP2,18.3802460071944,-0.114228612586569,0,NS
Training_PLA,RPL7A,18.6481279933226,0.407466441554895,0,NS
Training_PLA,UBE2I,18.7493552351104,-0.287999695198863,0,NS
Training_PLA,NRAP,18.5080218720212,0.14529761776458,0,NS
Training_PLA,PSMC5,18.7435312309005,0.0285849708565102,0,NS
Training_PLA,PRKAG1,18.6001625728091,0.151674018241192,0,NS
Training_PLA,XRCC6,18.7099728505218,-0.100686175118817,0,NS
Training_PLA,PAICS,18.7520639019915,0.0514916049105949,0,NS
Training_PLA,MTAP,18.7261582500832,-0.143907064746784,0,NS
Training_PLA,SLC16A1,18.7038533692934,-0.162283512500796,0,NS
Training_PLA,HLA-DRA,18.4268921603989,-0.213601371530181,0,NS
Training_PLA,FAM114A2,18.6546825624056,-0.0653658292921442,0,NS
Training_PLA,CPPED1,18.5705078533934,-0.0653878695047823,0,NS
Training_PLA,RPN2,18.7006291168683,-0.0795097720249593,0,NS
Training_PLA,CYB5B,18.2455190245731,0.134431534419171,0,NS
Training_PLA,NAMPT,18.7593637520485,0.153691844044161,0,NS
Training_PLA,CAMK2A,18.6348429400044,0.319302120749565,0,NS
Training_PLA,SGTA,18.7233721161057,-0.276929834054489,0,NS
Training_PLA,CNN2,17.8649641198345,0.452496228901673,0,NS
Training_PLA,IAH1,18.6117796269882,-0.0750448783598294,0,NS
Training_PLA,UBAC1,18.6419012416528,0.0508858763688735,0,NS
Training_PLA,CLTB,18.2135212498596,0.325117412040722,0,NS
Training_PLA,HNRNPA1,18.4718912913934,-0.167899239121862,0,NS
Training_PLA,SUOX,18.4112384627128,-0.59175381972776,0,NS
Training_PLA,HSPB8,18.5732268597885,0.260125284210474,0,NS
Training_PLA,PSMD9,18.5067124743874,0.182493957878364,0,NS
Training_PLA,MCEE,18.4394965285375,0.441144798105356,0,NS
Training_PLA,SIRT3,18.5487588715917,0.593035678537035,0,NS
Training_PLA,XPNPEP1,18.5171018910029,-0.240555111377539,0,NS
